Date,High,Low,Open,Close,Volume,Adj Close
23-05-2002,1.242856979,1.145714045,1.156429052,1.196429014,104790000,1.196429014
24-05-2002,1.225000024,1.197142959,1.21428597,1.210000038,11104800,1.210000038
28-05-2002,1.232143044,1.157142997,1.213570952,1.157142997,6609400,1.157142997
29-05-2002,1.164286017,1.085713983,1.164286017,1.103571057,6757800,1.103571057
30-05-2002,1.107856989,1.071429014,1.107856989,1.071429014,10154200,1.071429014
31-05-2002,1.078570962,1.071429014,1.078570962,1.076429009,8464400,1.076429009
03-06-2002,1.149286032,1.076429009,1.080000043,1.128571033,3151400,1.128571033
04-06-2002,1.139999986,1.110713959,1.135714054,1.117856979,3105200,1.117856979
05-06-2002,1.159286022,1.107143044,1.110713959,1.147143006,1531600,1.147143006
06-06-2002,1.232143044,1.148571014,1.149999976,1.182142973,2305800,1.182142973
07-06-2002,1.177857041,1.103571057,1.177857041,1.118571043,1369200,1.118571043
10-06-2002,1.174999952,1.134286046,1.13499999,1.156429052,484400,1.156429052
11-06-2002,1.188570976,1.128571033,1.156429052,1.15357101,1003800,1.15357101
12-06-2002,1.182142973,1.08928597,1.15357101,1.092857003,1799000,1.092857003
13-06-2002,1.12214303,1.080000043,1.104285955,1.082857013,2567600,1.082857013
14-06-2002,1.085713983,0.980000019,1.082142949,0.986428976,4783800,0.986428976
17-06-2002,1.059285998,0.917856991,1.013571024,0.922142982,4855200,0.922142982
18-06-2002,0.939285994,0.842142999,0.938570976,0.910713971,10808000,0.910713971
19-06-2002,0.996429026,0.892857015,0.911428988,0.951429009,5482400,0.951429009
20-06-2002,1.039999962,0.949999988,0.97142899,0.957143009,6111000,0.957143009
21-06-2002,0.989286005,0.947857022,0.982142985,0.979286015,2346400,0.979286015
24-06-2002,1.014286041,0.957143009,0.979286015,0.978570998,2567600,0.978570998
25-06-2002,1.007143021,0.947143018,0.988570988,0.964286029,3941000,0.964286029
26-06-2002,0.996429026,0.921428978,0.963571012,0.988570988,2924600,0.988570988
27-06-2002,1.018571019,0.942857027,1.009286046,0.943570971,3817800,0.943570971
28-06-2002,1.013571024,0.960713983,0.960713983,0.999285996,9234400,0.999285996
01-07-2002,1.046429038,0.992856979,1,1.027856946,4585000,1.027856946
02-07-2002,1.195000052,1.039286017,1.053570986,1.172857046,9020200,1.172857046
03-07-2002,1.21428597,1.117856979,1.178570986,1.21428597,4957400,1.21428597
05-07-2002,1.299286008,1.213570952,1.21428597,1.276429057,2003400,1.276429057
08-07-2002,1.252143025,1.167857051,1.252143025,1.175714016,1953000,1.175714016
09-07-2002,1.196429014,1.114285946,1.174999952,1.16071403,2935800,1.16071403
10-07-2002,1.178570986,1.132143021,1.161429048,1.163571,1554000,1.163571
11-07-2002,1.27857101,1.132856965,1.154286027,1.269286036,2529800,1.269286036
12-07-2002,1.279999971,1.207142949,1.27857101,1.207857013,2837800,1.207857013
15-07-2002,1.248571038,1.076429009,1.242856979,1.142856956,4239200,1.142856956
16-07-2002,1.157142997,1.104285955,1.152856946,1.126428962,1941800,1.126428962
17-07-2002,1.163571,1.075713992,1.144999981,1.08928597,1261400,1.08928597
18-07-2002,1.166429043,1.110713959,1.117143035,1.149286032,2899400,1.149286032
19-07-2002,1.16071403,1.12214303,1.152856946,1.159999967,1792000,1.159999967
22-07-2002,1.179286003,1.11500001,1.135714054,1.170714021,1993600,1.170714021
23-07-2002,1.213570952,1.130714059,1.176429033,1.146428943,1577800,1.146428943
24-07-2002,1.159286022,1.074285984,1.146428943,1.114285946,3355800,1.114285946
25-07-2002,1.12785697,1.034999967,1.125,1.036429048,4755800,1.036429048
26-07-2002,1.058570981,0.850000024,1.049999952,0.871429026,7046200,0.871429026
29-07-2002,0.924286008,0.850000024,0.896429002,0.876429021,3260600,0.876429021
30-07-2002,0.942857027,0.893571019,0.893571019,0.914286017,3777200,0.914286017
31-07-2002,0.959999979,0.905713975,0.928570986,0.953571022,3333400,0.953571022
01-08-2002,0.959999979,0.877857029,0.949999988,0.891429007,4529000,0.891429007
02-08-2002,0.88785702,0.706429005,0.886429012,0.777857006,6655600,0.777857006
05-08-2002,0.812856972,0.760713995,0.77857101,0.774999976,3808000,0.774999976
